Beta C_T^* C_Q^*
5.600610858767318234e+00 6.611873292858675422e-01 1.251070250131803285e-01
5.618112767700966792e+00 6.522084537226843226e-01 1.238426011886984285e-01
5.635614676634614462e+00 6.431964487482568771e-01 1.227536761965470485e-01
5.653116585568262131e+00 6.340430272262900235e-01 1.216740122238981897e-01
5.670618494501909801e+00 6.246117088716167665e-01 1.204404075834709514e-01
5.688120403435558359e+00 6.147731023581467502e-01 1.189294001933385581e-01
5.705622312369206028e+00 6.044456647007239170e-01 1.170893654196119849e-01
5.723124221302853698e+00 5.936279221094326042e-01 1.149576928444326074e-01
5.740626130236501368e+00 5.824084436019768551e-01 1.126557035446603544e-01
5.758128039170149925e+00 5.709446446019782462e-01 1.103594606044754345e-01
5.775629948103797595e+00 5.594099000302762414e-01 1.082512560062578594e-01
5.793131857037445265e+00 5.479184433138011290e-01 1.064625434224037159e-01
5.810633765971092934e+00 5.364463994028189076e-01 1.050227116212745088e-01
5.828135674904740604e+00 5.247723254650504821e-01 1.038281790674570465e-01
5.845637583838389162e+00 5.124598494551149130e-01 1.026425413978755696e-01
5.863139492772036832e+00 4.988978158667025653e-01 1.011316265393280150e-01
5.880641401705684501e+00 4.834008516219889251e-01 9.892887427196214722e-02
5.898143310639332171e+00 4.653580764093091515e-01 9.571851278205369129e-02
5.915645219572980729e+00 4.444034147555636638e-01 9.131858565184146348e-02
5.933147128506628398e+00 4.205713707287063174e-01 8.574447681680648359e-02
5.950649037440276068e+00 3.944001279494492307e-01 7.923673737572241305e-02
5.968150946373923738e+00 3.669507290239801822e-01 7.224417979714639615e-02
5.985652855307571407e+00 3.397260721023636076e-01 6.536281663380741347e-02
6.003154764241219965e+00 3.144936982469528908e-01 5.924108790671146763e-02
6.020656673174867635e+00 2.930375121377261638e-01 5.446963447256254753e-02
6.038158582108515304e+00 2.768808444786108880e-01 5.147776909971899656e-02
6.055660491042162974e+00 2.670324171253418144e-01 5.045780839257488215e-02
6.073162399975811532e+00 2.638052707489665361e-01 5.133273262259436392e-02
6.090664308909459201e+00 2.667463711660725267e-01 5.377351504235777097e-02
6.108166217843106871e+00 2.746937271715874096e-01 5.726198385545165637e-02
6.125668126776754541e+00 2.859527679719841009e-01 6.118562769916913169e-02
6.143170035710403099e+00 2.985598578052440222e-01 6.494444562142993871e-02
6.160671944644050768e+00 3.105834232409179774e-01 6.804813261846680283e-02
6.178173853577698438e+00 3.204061022192229435e-01 7.018487320326854961e-02
6.195675762511346107e+00 3.269361582869166893e-01 7.124996671082590993e-02
6.213177671444993777e+00 3.297120223014933793e-01 7.133171542554540834e-02
6.230679580378642335e+00 3.288866818642038337e-01 7.066129316576327812e-02
6.248181489312290005e+00 3.251035897761213045e-01 6.954056571313148305e-02
6.265683398245937674e+00 3.192972649277893149e-01 6.826550533316252944e-02
6.283185307179586232e+00 3.124651660000004050e-01 6.706228700000003984e-02
